track_id,track_name,track_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_sec,time_signature
0zxKXN0V3FhW2ltycon0dh,Friend of Mine,The Cold Stares,0.654,0.785,2,-4.165,1,0.0396,0.0185,0.0000593,0.059,0.688,176.037,162,4
4eMxLQtSdgxdA1Hs6D2YuN,In Hell I'll Be in Good Company,The Dead South,0.772,0.235,7,-9.075,0,0.0479,0.753,0.00125,0.111,0.703,154.802,245,4
5voIoFpbuy0frbhBzqenqC,Scarlet Town,Chris Thile,0.618,0.172,7,-15.342,1,0.0518,0.969,0.0321,0.079,0.462,152.435,363,4
3j5V7IBvCa6P6JhZnCjT7F,The Only Way,Tricky,0.656,0.421,4,-8.528,1,0.0291,0.248,0.775,0.1,0.1,120.012,291,4
2T3WJZLfknGj7ihx24Ody3,DROPS OF HAPPINESS,T-SQUARE,0.483,0.66,6,-9.783,0,0.0388,0.164,0.918,0.0967,0.717,190.186,270,3
1HRfk33rb6Td8NqQsZ2wC8,Tear The Roof Off (feat. Watsky),Bliss n Eso,0.736,0.89,1,-5.07,0,0.249,0.161,0,0.166,0.679,142.101,206,4
5PqdGrQr36yD6luUNJg3up,Multiplier,The Greyboy Allstars,0.597,0.909,4,-7.36,0,0.0482,0.00361,0.698,0.251,0.86,107.88,276,4
6Q90anzFub9ZhzmhLLwuZA,Gotta Get My Hands On Some (Money),Fatback Band,0.802,0.818,5,-7.922,1,0.13,0.238,0.376,0.152,0.73,118.779,226,4
7b3ceiH1Cy03cR0GtlqgHV,Tripped Out Slim,Trombone Shorty,0.758,0.792,3,-5.59,1,0.079,0.133,0.0138,0.0245,0.666,115.752,139,4
0HCLvzjx8mkL7OAvRg9osD,Phat Not Flat,Mauro Ottolini 8Funk Project,0.636,0.679,10,-10.871,0,0.111,0.207,0.000105,0.176,0.561,98.971,335,4
4O0XfFuNoOGaHCqzelMylQ,Don't Wake Me,Moonchild,0.626,0.361,11,-12.054,1,0.19,0.605,0.059,0.0714,0.724,83.501,285,4
2y6rfQMvcFhJSiOMDqgqI2,How Else (feat. Rich The Kid & ILoveMakonnen),Steve Aoki,0.798,0.834,1,-1.833,1,0.0371,0.00323,0.0000808,0.151,0.728,149.984,173,4
1kId8o2NIHcg8bmqmuIg1w,Repress,Ordinance,0.612,0.97,6,-4.362,1,0.0613,0.00557,0.000251,0.32,0.333,117.517,272,4
6o69IdDbK3CSUUQfXlX2CN,The Blind Watchmaker,Spheron,0.269,0.995,2,-3.656,0,0.165,0.00227,0.719,0.0517,0.131,112.398,418,4
60IZhkTMKK41UKgIcHY4ns,Fashion,Owane,0.326,0.649,6,-11.612,1,0.0514,0.041,0.868,0.106,0.337,149.751,231,4
39uUVImdhfZmDdbq4xectp,Don't Fuck With Joe,The Blackwater Fever,0.392,0.708,1,-6.82,1,0.0588,0.0415,0.000464,0.256,0.483,157.414,205,4
6sHU7JZXvhLt4HXRSKuHic,Southern Outlaw,Stone Machine,0.4,0.75,6,-4.563,0,0.0448,0.109,0,0.197,0.822,170.258,166,4
7k5xsLopn4tgTYsXXuSaEg,Proper Funds,Tub Ring,0.79,0.617,1,-4.744,1,0.0623,0.0503,0.0032,0.0923,0.532,83.974,93,4
7wlcweEsneQgizqNOrUqJE,Shaolin Monk Motherfunk,Hiatus Kaiyote,0.415,0.463,6,-9.86,0,0.0823,0.134,0.00255,0.101,0.573,96.1,351,4
4DNJDt8cxCSLT81rjlD6h4,One Way Outta Here,The Cold Stares,0.525,0.854,1,-6.294,1,0.0654,0.0102,0.000275,0.346,0.469,82.973,227,4
1scrlKynvXpAbnZ2r7GU1c,Chalk and Coal,Iamthemorning,0.429,0.464,10,-15.138,0,0.043,0.535,0.0543,0.139,0.0408,127.025,297,4
5JpOCHGH1Wq1RFSLJteufN,Over Your Shoulder,Chromeo,0.784,0.653,2,-6.338,0,0.0404,0.322,0.00028,0.163,0.905,114.002,272,4
4T1168WOWj7Ch7DbbNEFp7,Crumbling Castle,King Gizzard & The Lizard Wizard,0.348,0.738,6,-7.221,0,0.0447,0.136,0.0327,0.0689,0.593,99.771,644,3
13mDG8jaeiaquPfyxYhjxF,Sour Apples,The Cool Kids,0.742,0.721,9,-8.149,0,0.211,0.18,0,0.0521,0.492,104.087,153,4
1vdgTDW98RoUCUEg9Qx0O1,Stockholm Syndrome,That Handsome Devil,0.738,0.716,10,-6.422,0,0.0527,0.00245,0.0313,0.0279,0.829,100.094,166,4
3D73qlO3Nkoj7H3mr54ron,Prinoner of the Tiki Room,Mojo Nixon,0.494,0.381,9,-7.21,1,0.046,0.776,0.00118,0.0728,0.529,103.58,152,4
48td6xvpokdYwvbl3JIiXP,Love Never Felt so Good,Michael Jackson,0.775,0.719,7,-6.212,0,0.0435,0.132,0.00000179,0.0662,0.712,117.513,246,4
1SHK388zuZzBCiUP5KOiAe,Master Plan,Federal Charm,0.314,0.883,7,-3.67,1,0.0459,0.000601,0.00028,0.275,0.564,80.484,196,4
6LaEaOwWkvP8DWa7S3yXkC,Afterburger,Arch Echo,0.366,0.989,2,-3.378,1,0.176,0.00036,0.863,0.143,0.235,166.911,310,4
5KbQA1Nx5MDQlqeX1yg3ae,Breakout,Derek Frank,0.656,0.944,2,-5.048,1,0.0482,0.114,0.241,0.107,0.699,130.099,307,4
0mcO5BXKTvLug9sjHqQodZ,T.M.P.,Big Sam's Funky Nation,0.538,0.894,1,-9.212,1,0.0492,0.0321,0.879,0.129,0.756,121.56,263,4
14IwWPbLxITWFEJRvGnFi1,By Your Side,"Soil & ""Pimp"" Sessions",0.73,0.683,7,-9.067,0,0.225,0.722,0.00477,0.034,0.85,93.929,280,4
28koESEoRVuT0dKEp9UEnw,Spotlight,Jazztronik,0.56,0.794,0,-4.647,1,0.327,0.43,0.00000513,0.0337,0.854,187.629,253,4
0O21ezSaL48lYRUsnT3WJ0,Have a Nice Day!,H ZETTRIO,0.632,0.508,7,-9.101,1,0.0916,0.657,0.715,0.333,0.603,101.459,264,4
2fAECghmrOUoo7rwLZVqrN,Turning Points,Addison Groove Project,0.55,0.804,7,-4.305,0,0.0401,0.206,0.217,0.0603,0.79,112.461,393,4
5PtCTa4Br6JKUUUikVRam3,Postcards,Grieves,0.658,0.756,4,-6.788,0,0.263,0.0335,0.00016,0.254,0.607,148.104,228,4
1FL09Ba2cWrKiqEpTUiOHL,Time Wasters,Gentleman's Pistols,0.359,0.894,11,-6.248,0,0.212,0.000124,0.166,0.157,0.684,85.165,349,4
78qpAvQJ05dgqke1lX63PP,Is Okay,Seyo,0.793,0.871,11,-6.235,1,0.0667,0.108,0.000229,0.147,0.656,143.988,196,4
6nO0XhSYtZ4wqJt5J5TpCO,What I Wanted (feat. Moli),Fabich,0.82,0.705,9,-6.068,0,0.417,0.191,0,0.2,0.586,127.079,153,4
4JXXyXK12F0LGuYyxI1DGv,Bet Ain't Worth the Hand,Leon Bridges,0.546,0.539,4,-5.588,1,0.0346,0.777,0,0.124,0.286,119.637,186,4
